"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"CLASS"	"Informatiemodel-Besluitvorming"	"Advies"	"{8A09FB90-A1DE-4c1b-A846-3C537D59EB4B}"	""	""	""	""	"Advies"	"Advies gegeven door een welbepaald orgaan met betrekking tot een deeldossier."	""	""	"false"	"https://data.vlaanderen.be/ns/besluitvorming#"	"Advies"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"Informatiemodel-Besluitvorming"	"PublicatieBelgischStaatsblad"	"{44741764-6576-40e1-9450-02F6E80FFCB3}"	"Publicatie"	""	""	""	"Publicatie in het Belgisch Staatsblad"	"Officiële publicatie in het Belgisch Staatsblad."	""	""	"false"	"https://data.vlaanderen.be/ns/besluitvorming#"	"PublicatieBelgischStaatsblad"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://data.europa.eu/eli/ontology#LegalExpression"	""	""
"CLASS"	"Informatiemodel-Besluitvorming"	"Vertalingsaanvraag"	"{07D9A982-ED5E-476c-80A5-9E49ACCA15E4}"	""	""	""	""	"Vertalingsaanvraag"	"Vertalingsaanvraag van een documentversie."	""	""	"false"	"https://data.vlaanderen.be/ns/besluitvorming#"	"Vertalingsaanvraag"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"ENUMERATION"	"Informatiemodel-Besluitvorming"	"TypeDocument"	"{686D21D4-33E4-4ec1-A785-BF193E7BC331}"	""	""	""	""	"Type document"	"TODO"	""	""	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"Informatiemodel-Besluitvorming"	"Agendapunt"	"{86B10F48-936B-40f9-A8B8-52C9208C1C65}"	""	""	""	""	"Agendapunt"	"Formeel aanvaard te behandelen onderwerp op een zitting."	""	""	"true"	"https://data.vlaanderen.be/doc/applicatieprofiel/besluit-publicatie/#"	"Agendapunt"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"ENUMERATION"	"Informatiemodel-Besluitvorming"	"TypeDossier"	"{06EFAF97-012C-472f-9825-141F6900DF33}"	""	""	""	""	"Type dossier"	"TODO"	""	""	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"Informatiemodel-Besluitvorming"	"Document"	"{7B3CC78A-924D-48c5-8265-D8B9ED49FE9D}"	""	""	""	""	"Document"	"Document."	""	""	"true"	"http://xmlns.com/foaf/0.1/"	"Document"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"Informatiemodel-Besluitvorming"	"Deeldossier"	"{985B3F3D-1940-46b6-8F72-E20F6C282D03}"	""	""	""	""	"Deeldossier"	"Formeel gedefiniëerde stappen die in de juiste volgorde leiden tot de afronding van een dossier. Deze volgorde kan zowel (deels) sequentieel als parallel gedefiniëerd zijn."	""	""	"true"	"http://dbpedia.org/ontology/"	"UnitOfWork"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"Informatiemodel-Besluitvorming"	"Dossier"	"{F6B5B3F6-87FA-4f9b-B09B-B0D10B2C080D}"	""	""	""	""	"Dossier"	"Overkoepelend geheel van deeldossiers rond hetzelfde onderwerp en met hetzelfde doel."	""	""	"true"	"http://dbpedia.org/ontology/"	"Case"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"connector"	""	"creëert"	"{8A3617F0-DAB7-43c2-B99A-9CD0E99F92DD}"	""	"Hoedanigheid"	"{74CEEB6F-979D-44c9-9E7D-7D6A7B6B1137}"	"Dossier"	"creëert"	"Duidt aan dat een dossier door een hoedanigheid wordt aangemaakt."	""	""	"true"	"http://www.w3.org/ns/prov#"	"generated"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"https://data.vlaanderen.be/ns/organisatie#Hoedanigheid"	"http://dbpedia.org/ontology/Case"	""	"0"	"*"
